withdrawal_id,atm_id,timestamp,amount,day_of_week,hour,withdrawal_frequency,is_suspicious,associated_case_id
WDR-0000001,ATM-HYD-0363,2026-01-27 06:13:00,15000,Tuesday,6,8,False,N/A
WDR-0000002,ATM-HYD-0266,2026-04-22 06:02:00,20000,Wednesday,6,23,False,N/A
WDR-0000003,ATM-HYD-0050,2026-07-13 13:54:00,40000,Monday,13,18,False,N/A
WDR-0000004,ATM-HYD-0386,2026-02-17 06:43:00,20000,Tuesday,6,4,True,DR-2026-4616
WDR-0000005,ATM-HYD-0255,2026-02-21 18:17:00,15000,Saturday,18,6,False,N/A
WDR-0000006,ATM-HYD-0245,2026-04-05 20:38:00,4000,Sunday,20,14,False,N/A
WDR-0000007,ATM-HYD-0308,2026-06-07 07:50:00,5000,Sunday,7,19,False,N/A
WDR-0000008,ATM-HYD-0033,2026-03-23 13:05:00,4000,Monday,13,18,False,N/A
WDR-0000009,ATM-HYD-0377,2026-04-29 03:07:00,20000,Wednesday,3,11,True,DR-2026-2257
WDR-0000010,ATM-HYD-0135,2026-01-31 22:56:00,15000,Saturday,22,19,False,N/A
WDR-0000011,ATM-HYD-0018,2026-06-21 10:25:00,5000,Sunday,10,18,False,N/A
WDR-0000012,ATM-HYD-0025,2026-04-02 20:22:00,10000,Thursday,20,22,False,N/A
WDR-0000013,ATM-HYD-0231,2026-02-04 12:29:00,40000,Wednesday,12,20,False,N/A
WDR-0000014,ATM-HYD-0010,2026-04-06 22:08:00,40000,Monday,22,13,False,N/A
WDR-0000015,ATM-HYD-0160,2026-03-23 22:06:00,40000,Monday,22,21,False,N/A
WDR-0000016,ATM-HYD-0053,2026-04-06 07:50:00,20000,Monday,7,9,True,DR-2026-2516
WDR-0000017,ATM-HYD-0505,2026-04-01 19:35:00,4000,Wednesday,19,15,True,DR-2026-3489
WDR-0000018,ATM-HYD-0061,2026-01-20 15:38:00,2000,Tuesday,15,6,False,N/A
WDR-0000019,ATM-HYD-0356,2026-01-28 14:06:00,2000,Wednesday,14,20,False,N/A
WDR-0000020,ATM-HYD-0270,2026-04-22 11:13:00,5000,Wednesday,11,4,False,N/A
WDR-0000021,ATM-HYD-0216,2026-05-16 07:59:00,25000,Saturday,7,8,True,DR-2026-4502
WDR-0000022,ATM-HYD-0042,2026-03-16 21:07:00,4000,Monday,21,18,False,N/A
WDR-0000023,ATM-HYD-0451,2026-03-10 16:35:00,40000,Tuesday,16,17,False,N/A
WDR-0000024,ATM-HYD-0204,2026-03-22 17:28:00,4000,Sunday,17,13,True,DR-2026-3813
WDR-0000025,ATM-HYD-0180,2026-03-28 04:21:00,10000,Saturday,4,20,True,DR-2026-2455
WDR-0000026,ATM-HYD-0105,2026-04-05 05:01:00,15000,Sunday,5,5,False,N/A
WDR-0000027,ATM-HYD-0321,2026-03-04 11:49:00,2000,Wednesday,11,4,False,N/A
WDR-0000028,ATM-HYD-0084,2026-02-20 22:28:00,15000,Friday,22,3,False,N/A
WDR-0000029,ATM-HYD-0448,2026-02-26 09:30:00,2000,Thursday,9,14,False,N/A
WDR-0000030,ATM-HYD-0182,2026-06-05 15:55:00,20000,Friday,15,4,False,N/A
WDR-0000031,ATM-HYD-0277,2026-05-13 12:09:00,10000,Wednesday,12,11,True,DR-2026-1698
WDR-0000032,ATM-HYD-0117,2026-02-22 22:46:00,10000,Sunday,22,19,False,N/A
WDR-0000033,ATM-HYD-0070,2026-03-09 16:37:00,40000,Monday,16,6,False,N/A
WDR-0000034,ATM-HYD-0126,2026-05-10 14:27:00,4000,Sunday,14,5,True,DR-2026-5013
WDR-0000035,ATM-HYD-0378,2026-08-03 07:13:00,2000,Monday,7,8,True,DR-2026-1892
WDR-0000036,ATM-HYD-0372,2026-06-29 13:56:00,40000,Monday,13,5,False,N/A
WDR-0000037,ATM-HYD-0098,2026-08-03 17:14:00,20000,Monday,17,4,True,DR-2026-3078
WDR-0000038,ATM-HYD-0415,2026-07-24 07:09:00,15000,Friday,7,15,True,DR-2026-2708
WDR-0000039,ATM-HYD-0494,2026-07-06 13:19:00,2000,Monday,13,16,True,DR-2026-1501
WDR-0000040,ATM-HYD-0365,2026-05-07 18:58:00,20000,Thursday,18,21,False,N/A
WDR-0000041,ATM-HYD-0304,2026-01-20 18:28:00,4000,Tuesday,18,15,False,N/A
WDR-0000042,ATM-HYD-0199,2026-03-16 04:05:00,20000,Monday,4,22,False,N/A
WDR-0000043,ATM-HYD-0094,2026-03-10 11:08:00,25000,Tuesday,11,7,False,N/A
WDR-0000044,ATM-HYD-0140,2026-02-24 07:59:00,15000,Tuesday,7,21,True,DR-2026-1194
WDR-0000045,ATM-HYD-0510,2026-02-21 12:36:00,5000,Saturday,12,19,True,DR-2026-1652
WDR-0000046,ATM-HYD-0266,2026-03-29 10:45:00,40000,Sunday,10,19,False,N/A
WDR-0000047,ATM-HYD-0189,2026-07-19 21:16:00,20000,Sunday,21,6,False,N/A
WDR-0000048,ATM-HYD-0369,2026-05-05 19:08:00,2000,Tuesday,19,23,False,N/A
WDR-0000049,ATM-HYD-0062,2026-02-11 19:22:00,15000,Wednesday,19,10,False,N/A
WDR-0000050,ATM-HYD-0218,2026-03-27 05:25:00,10000,Friday,5,15,False,N/A
WDR-0000051,ATM-HYD-0207,2026-07-28 18:14:00,20000,Tuesday,18,11,False,N/A
WDR-0000052,ATM-HYD-0015,2026-04-11 21:24:00,15000,Saturday,21,4,True,DR-2026-4333
WDR-0000053,ATM-HYD-0462,2026-01-30 17:28:00,15000,Friday,17,5,True,DR-2026-3506
WDR-0000054,ATM-HYD-0087,2026-05-02 03:41:00,40000,Saturday,3,3,False,N/A
WDR-0000055,ATM-HYD-0484,2026-06-11 03:23:00,4000,Thursday,3,13,False,N/A
WDR-0000056,ATM-HYD-0507,2026-05-20 14:00:00,15000,Wednesday,14,15,False,N/A
WDR-0000057,ATM-HYD-0164,2026-02-19 09:09:00,25000,Thursday,9,5,False,N/A
WDR-0000058,ATM-HYD-0046,2026-07-10 05:40:00,10000,Friday,5,19,False,N/A
WDR-0000059,ATM-HYD-0168,2026-03-09 06:47:00,5000,Monday,6,24,True,DR-2026-3755
WDR-0000060,ATM-HYD-0288,2026-06-22 05:54:00,10000,Monday,5,8,True,DR-2026-3681
WDR-0000061,ATM-HYD-0174,2026-07-26 23:57:00,40000,Sunday,23,17,True,DR-2026-3150
WDR-0000062,ATM-HYD-0138,2026-03-08 19:53:00,10000,Sunday,19,7,True,DR-2026-1777
WDR-0000063,ATM-HYD-0180,2026-02-15 14:44:00,25000,Sunday,14,3,False,N/A
WDR-0000064,ATM-HYD-0127,2026-07-19 15:57:00,20000,Sunday,15,10,False,N/A
WDR-0000065,ATM-HYD-0511,2026-07-03 09:48:00,10000,Friday,9,24,False,N/A
WDR-0000066,ATM-HYD-0267,2026-07-01 03:34:00,2000,Wednesday,3,22,False,N/A
WDR-0000067,ATM-HYD-0020,2026-06-24 09:25:00,15000,Wednesday,9,18,False,N/A
WDR-0000068,ATM-HYD-0148,2026-04-09 03:54:00,4000,Thursday,3,5,True,DR-2026-4830
WDR-0000069,ATM-HYD-0383,2026-04-05 07:17:00,25000,Sunday,7,20,False,N/A
WDR-0000070,ATM-HYD-0249,2026-07-07 15:34:00,20000,Tuesday,15,12,False,N/A
WDR-0000071,ATM-HYD-0254,2026-07-15 00:37:00,25000,Wednesday,0,16,False,N/A
WDR-0000072,ATM-HYD-0498,2026-05-17 08:32:00,4000,Sunday,8,9,True,DR-2026-3990
WDR-0000073,ATM-HYD-0470,2026-02-26 21:42:00,5000,Thursday,21,18,False,N/A
WDR-0000074,ATM-HYD-0226,2026-04-17 16:10:00,2000,Friday,16,9,False,N/A
WDR-0000075,ATM-HYD-0104,2026-05-03 22:39:00,10000,Sunday,22,14,True,DR-2026-3052
WDR-0000076,ATM-HYD-0350,2026-04-09 21:30:00,10000,Thursday,21,18,False,N/A
WDR-0000077,ATM-HYD-0375,2026-03-24 22:46:00,4000,Tuesday,22,15,False,N/A
WDR-0000078,ATM-HYD-0489,2026-01-20 01:14:00,5000,Tuesday,1,17,False,N/A
WDR-0000079,ATM-HYD-0227,2026-01-23 00:00:00,20000,Friday,0,11,False,N/A
WDR-0000080,ATM-HYD-0229,2026-06-23 16:31:00,5000,Tuesday,16,6,False,N/A
WDR-0000081,ATM-HYD-0324,2026-06-02 02:48:00,25000,Tuesday,2,5,False,N/A
WDR-0000082,ATM-HYD-0256,2026-07-21 22:36:00,25000,Tuesday,22,16,False,N/A
WDR-0000083,ATM-HYD-0231,2026-01-20 18:12:00,5000,Tuesday,18,10,False,N/A
WDR-0000084,ATM-HYD-0393,2026-03-05 10:24:00,10000,Thursday,10,21,True,DR-2026-1999
WDR-0000085,ATM-HYD-0347,2026-04-17 01:31:00,2000,Friday,1,13,False,N/A
WDR-0000086,ATM-HYD-0087,2026-06-10 15:10:00,5000,Wednesday,15,17,False,N/A
WDR-0000087,ATM-HYD-0348,2026-04-01 20:45:00,5000,Wednesday,20,22,False,N/A
WDR-0000088,ATM-HYD-0154,2026-03-08 10:39:00,40000,Sunday,10,9,False,N/A
WDR-0000089,ATM-HYD-0426,2026-07-27 16:38:00,25000,Monday,16,18,True,DR-2026-4981
WDR-0000090,ATM-HYD-0318,2026-03-11 04:43:00,4000,Wednesday,4,6,False,N/A
WDR-0000091,ATM-HYD-0057,2026-02-20 00:39:00,15000,Friday,0,3,False,N/A
WDR-0000092,ATM-HYD-0413,2026-07-16 06:21:00,15000,Thursday,6,21,False,N/A
WDR-0000093,ATM-HYD-0361,2026-03-15 03:34:00,40000,Sunday,3,7,False,N/A
WDR-0000094,ATM-HYD-0344,2026-04-23 19:32:00,5000,Thursday,19,3,True,DR-2026-2972
WDR-0000095,ATM-HYD-0140,2026-07-04 18:13:00,40000,Saturday,18,14,False,N/A
WDR-0000096,ATM-HYD-0317,2026-02-25 17:42:00,2000,Wednesday,17,19,False,N/A
WDR-0000097,ATM-HYD-0266,2026-07-06 19:34:00,15000,Monday,19,21,True,DR-2026-4879
WDR-0000098,ATM-HYD-0010,2026-07-31 01:19:00,5000,Friday,1,17,False,N/A
WDR-0000099,ATM-HYD-0060,2026-04-21 22:55:00,5000,Tuesday,22,6,False,N/A
WDR-0000100,ATM-HYD-0496,2026-04-08 01:55:00,4000,Wednesday,1,4,False,N/A
WDR-0000101,ATM-HYD-0019,2026-04-03 16:05:00,15000,Friday,16,17,True,DR-2026-4731
