case_id,complaint_id,predicted_location,actual_location,prediction_timestamp,intervention_status,intervention_time,outcome,recovered_amount,false_positive,model_version
DR-2026-1002,CMP-HYD-00002,ATM-HYD-0028,ATM-HYD-0028,2026-01-13 21:19:00,INTERCEPTED,2026-01-13 22:06:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,183536.22,0,v2.2-xgboost-conformal
DR-2026-1003,CMP-HYD-00003,ATM-HYD-0495,ATM-HYD-0495,2026-08-01 07:08:00,INTERCEPTED,2026-08-01 08:00:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,14445.8,0,v2.2-xgboost-conformal
DR-2026-1004,CMP-HYD-00004,ATM-HYD-0266,ATM-HYD-0504,2026-08-20 10:07:00,DISPATCHED_MISSED,2026-08-20 10:22:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1005,CMP-HYD-00005,ATM-HYD-0389,ATM-HYD-0211,2026-04-25 04:02:00,DISPATCHED_MISSED,2026-04-25 04:53:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1006,CMP-HYD-00006,ATM-HYD-0508,ATM-HYD-0269,2026-06-11 17:50:00,DISPATCHED_MISSED,2026-06-11 18:39:00,DIFFERENT_ATM_USED,0.0,1,v2.2-xgboost-conformal
DR-2026-1007,CMP-HYD-00007,ATM-HYD-0519,ATM-HYD-0519,2026-01-08 08:03:00,INTERCEPTED,2026-01-08 08:57:00,CASH_WITHDRAWAL_PREVENTED,46790.23,0,v2.2-xgboost-conformal
DR-2026-1008,CMP-HYD-00008,ATM-HYD-0084,ATM-HYD-0178,2026-08-28 05:11:00,DISPATCHED_MISSED,2026-08-28 05:51:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1009,CMP-HYD-00009,ATM-HYD-0218,ATM-HYD-0218,2026-03-21 05:31:00,INTERCEPTED,2026-03-21 06:03:00,CASH_WITHDRAWAL_PREVENTED,195154.38,0,v2.2-xgboost-conformal
DR-2026-1010,CMP-HYD-00010,ATM-HYD-0287,ATM-HYD-0287,2026-01-06 04:37:00,INTERCEPTED,2026-01-06 04:54:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,13878.28,0,v2.2-xgboost-conformal
DR-2026-1011,CMP-HYD-00011,ATM-HYD-0178,ATM-HYD-0329,2026-07-22 20:31:00,DISPATCHED_MISSED,2026-07-22 20:54:00,OFFICER_ARRIVED_POST_CASHOUT,0.0,1,v2.2-xgboost-conformal
DR-2026-1012,CMP-HYD-00012,ATM-HYD-0042,ATM-HYD-0042,2026-07-06 00:44:00,INTERCEPTED,2026-07-06 01:36:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,37664.43,0,v2.2-xgboost-conformal
DR-2026-1013,CMP-HYD-00013,ATM-HYD-0201,ATM-HYD-0201,2026-03-02 11:20:00,INTERCEPTED,2026-03-02 11:55:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,24087.51,0,v2.2-xgboost-conformal
DR-2026-1014,CMP-HYD-00014,ATM-HYD-0377,ATM-HYD-0377,2026-07-04 00:03:00,INTERCEPTED,2026-07-04 00:33:00,SUSPECT_APPREHENDED_AND_FUNDS_FROZEN,21276.57,0,v2.2-xgboost-conformal
