atm_id,bank,latitude,longitude,area,locality,city,pincode,is_24x7,demo_dataset,atm_name,atm_type,operating_hours,historical_withdrawal_count,historical_cashout_rate,average_withdrawal_amount,historical_risk_score,distance_to_police,distance_to_highway,nearby_landmarks,active_status
ATM-HYD-0001,State Bank of India,17.417835,78.434378,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,State Bank of India ATM - Banjara Hills,Off-Site Kiosk,24 Hours,165,0.39,5000,0.31,0.26,2.63,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0002,ICICI Bank,17.418515,78.441854,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,ICICI Bank ATM - Banjara Hills,Off-Site Kiosk,24 Hours,698,0.15,10000,0.17,0.8,0.51,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0003,HDFC Bank,17.414546,78.433946,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,HDFC Bank ATM - Banjara Hills,On-Site,24 Hours,756,0.13,5000,0.65,0.16,2.51,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0004,State Bank of India,17.422706,78.438453,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,State Bank of India ATM - Banjara Hills,On-Site,24 Hours,599,0.33,4000,0.68,0.87,0.73,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0005,Kotak Mahindra Bank,17.413487,78.437442,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,False,True,Kotak Mahindra Bank ATM - Banjara Hills,On-Site,06:00 - 23:00,424,0.18,8000,0.22,0.35,1.45,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0006,State Bank of India,17.413515,78.432904,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,State Bank of India ATM - Banjara Hills,On-Site,24 Hours,492,0.34,4000,0.66,0.32,1.97,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0007,State Bank of India,17.416689,78.42639,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,State Bank of India ATM - Banjara Hills,Off-Site Kiosk,24 Hours,527,0.15,8000,0.73,0.92,2.24,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0008,HDFC Bank,17.407838,78.43247,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,HDFC Bank ATM - Banjara Hills,Off-Site Kiosk,24 Hours,731,0.19,4000,0.18,0.9,0.95,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0009,Kotak Mahindra Bank,17.411042,78.436414,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,Kotak Mahindra Bank ATM - Banjara Hills,On-Site,24 Hours,221,0.43,4000,0.42,0.53,1.7,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0010,Kotak Mahindra Bank,17.411514,78.428645,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,False,True,Kotak Mahindra Bank ATM - Banjara Hills,Off-Site Kiosk,06:00 - 23:00,306,0.25,5000,0.62,0.81,2.52,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0011,HDFC Bank,17.422195,78.433984,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,False,True,HDFC Bank ATM - Banjara Hills,Off-Site Kiosk,06:00 - 23:00,213,0.34,5000,0.52,0.74,1.01,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0012,Kotak Mahindra Bank,17.415904,78.428589,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,Kotak Mahindra Bank ATM - Banjara Hills,On-Site,24 Hours,416,0.48,20000,0.63,0.68,0.92,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0013,State Bank of India,17.41315,78.435499,Banjara Hills,Road No 1 / Road No 12 Junction,Hyderabad,500034,True,True,State Bank of India ATM - Banjara Hills,On-Site,24 Hours,197,0.2,4000,0.71,0.28,1.52,Near Banjara Hills Metro / Junction,ACTIVE
ATM-HYD-0014,IndusInd Bank,17.426721,78.408991,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,IndusInd Bank ATM - Jubilee Hills,On-Site,24 Hours,720,0.44,8000,0.3,0.6,1.85,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0015,Axis Bank,17.429197,78.405987,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,Axis Bank ATM - Jubilee Hills,Off-Site Kiosk,24 Hours,798,0.29,8000,0.25,0.33,2.66,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0016,ICICI Bank,17.429192,78.415635,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,ICICI Bank ATM - Jubilee Hills,On-Site,24 Hours,738,0.27,15000,0.43,0.93,0.92,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0017,HDFC Bank,17.431839,78.40254,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,HDFC Bank ATM - Jubilee Hills,Off-Site Kiosk,24 Hours,661,0.3,4000,0.75,0.51,0.7,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0018,IndusInd Bank,17.435601,78.401806,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,IndusInd Bank ATM - Jubilee Hills,On-Site,24 Hours,836,0.27,4000,0.42,0.66,2.17,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0019,Axis Bank,17.43284,78.398481,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,Axis Bank ATM - Jubilee Hills,On-Site,24 Hours,397,0.47,4000,0.63,0.94,0.58,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0020,State Bank of India,17.425923,78.408186,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,State Bank of India ATM - Jubilee Hills,Off-Site Kiosk,24 Hours,413,0.4,8000,0.23,0.67,1.63,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0021,HDFC Bank,17.435223,78.408071,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,False,True,HDFC Bank ATM - Jubilee Hills,On-Site,06:00 - 23:00,409,0.47,5000,0.51,0.25,0.55,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0022,State Bank of India,17.43138,78.405945,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,State Bank of India ATM - Jubilee Hills,Off-Site Kiosk,24 Hours,794,0.3,5000,0.26,0.15,2.72,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0023,IndusInd Bank,17.425247,78.404061,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,IndusInd Bank ATM - Jubilee Hills,On-Site,24 Hours,683,0.45,15000,0.38,0.82,0.26,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0024,State Bank of India,17.429827,78.412057,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,State Bank of India ATM - Jubilee Hills,Off-Site Kiosk,24 Hours,454,0.21,5000,0.76,0.55,3.32,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0025,State Bank of India,17.433446,78.399366,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,State Bank of India ATM - Jubilee Hills,On-Site,24 Hours,637,0.41,15000,0.69,0.86,0.62,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0026,State Bank of India,17.433358,78.405567,Jubilee Hills,Check Post / Road No 36,Hyderabad,500033,True,True,State Bank of India ATM - Jubilee Hills,On-Site,24 Hours,702,0.18,15000,0.76,0.25,1.6,Near Jubilee Hills Metro / Junction,ACTIVE
ATM-HYD-0027,State Bank of India,17.440454,78.379953,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,State Bank of India ATM - Hitec City,On-Site,24 Hours,692,0.39,20000,0.29,0.06,1.23,Near Hitec City Metro / Junction,ACTIVE
ATM-HYD-0028,Canara Bank,17.448139,78.381391,Hitec City,Cyber Towers / Mindspace IT Park,Hyderabad,500081,True,True,Canara Bank ATM - Hitec City,Off-Site Kiosk,24 Hours,805,0.25,15000,0.47,0.93,1.02,Near Hitec City Metro / Junction,ACTIVE
