transaction_id,case_id,source_account,destination_account,amount,timestamp,hop_number,transaction_type,is_terminal
TXN-0000001,DR-2026-1001,ACC-VIC-00934,ACC-MULE-00163,141615.99,2026-03-07 07:54:00,1,UPI,False
TXN-0000002,DR-2026-1001,ACC-MULE-00163,ACC-MULE-00102,132795.84,2026-03-07 08:04:00,2,IMPS,False
TXN-0000003,DR-2026-1001,ACC-MULE-00102,ACC-TERM-00092,126036.86,2026-03-07 08:26:00,3,ATM_WITHDRAWAL,True
TXN-0000004,DR-2026-1002,ACC-VIC-01070,ACC-MULE-00557,185122.92,2026-03-26 22:00:00,1,UPI,False
TXN-0000005,DR-2026-1002,ACC-MULE-00557,ACC-MULE-00450,178531.08,2026-03-26 22:08:00,2,IMPS,False
TXN-0000006,DR-2026-1002,ACC-MULE-00450,ACC-TERM-00387,166431.54,2026-03-26 22:23:00,3,ATM_WITHDRAWAL,True
TXN-0000007,DR-2026-1003,ACC-VIC-00488,ACC-MULE-00185,14068.8,2026-03-28 07:51:00,1,UPI,False
TXN-0000008,DR-2026-1003,ACC-MULE-00185,ACC-MULE-00727,13499.75,2026-03-28 08:03:00,2,IMPS,False
TXN-0000009,DR-2026-1003,ACC-MULE-00727,ACC-MULE-00739,12963.19,2026-03-28 08:28:00,3,IMPS,False
TXN-0000010,DR-2026-1003,ACC-MULE-00739,ACC-TERM-00208,12152.11,2026-03-28 08:44:00,4,ATM_WITHDRAWAL,True
TXN-0000011,DR-2026-1004,ACC-VIC-00412,ACC-MULE-00088,23866.53,2026-03-30 10:40:00,1,UPI,False
TXN-0000012,DR-2026-1004,ACC-MULE-00088,ACC-MULE-00113,22119.88,2026-03-30 11:01:00,2,IMPS,False
TXN-0000013,DR-2026-1004,ACC-MULE-00113,ACC-MULE-00642,20812.71,2026-03-30 11:23:00,3,IMPS,False
TXN-0000014,DR-2026-1004,ACC-MULE-00642,ACC-TERM-00068,19924.95,2026-03-30 11:31:00,4,ATM_WITHDRAWAL,True
TXN-0000015,DR-2026-1005,ACC-VIC-00290,ACC-MULE-00702,80302.77,2026-03-17 20:56:00,1,UPI,False
TXN-0000016,DR-2026-1005,ACC-MULE-00702,ACC-TERM-00119,77869.27,2026-03-17 21:03:00,2,ATM_WITHDRAWAL,True
TXN-0000017,DR-2026-1006,ACC-VIC-00968,ACC-MULE-00091,46719.36,2026-03-27 04:04:00,1,UPI,False
TXN-0000018,DR-2026-1006,ACC-MULE-00091,ACC-TERM-00148,43440.58,2026-03-27 04:11:00,2,ATM_WITHDRAWAL,True
TXN-0000019,DR-2026-1007,ACC-VIC-00879,ACC-MULE-00653,47707.94,2026-03-29 21:11:00,1,UPI,False
TXN-0000020,DR-2026-1007,ACC-MULE-00653,ACC-MULE-00343,45155.77,2026-03-29 21:15:00,2,IMPS,False
TXN-0000021,DR-2026-1007,ACC-MULE-00343,ACC-TERM-00086,41827.85,2026-03-29 21:40:00,3,ATM_WITHDRAWAL,True
TXN-0000022,DR-2026-1008,ACC-VIC-00435,ACC-MULE-00070,88540.55,2026-04-04 00:16:00,1,UPI,False
TXN-0000023,DR-2026-1008,ACC-MULE-00070,ACC-TERM-00027,82466.07,2026-04-04 00:24:00,2,ATM_WITHDRAWAL,True
TXN-0000024,DR-2026-1009,ACC-VIC-01431,ACC-MULE-00042,192263.48,2026-03-14 03:54:00,1,UPI,False
TXN-0000025,DR-2026-1009,ACC-MULE-00042,ACC-MULE-00637,185646.29,2026-03-14 04:01:00,2,IMPS,False
TXN-0000026,DR-2026-1009,ACC-MULE-00637,ACC-MULE-00551,178786.67,2026-03-14 04:26:00,3,IMPS,False
TXN-0000027,DR-2026-1009,ACC-MULE-00551,ACC-TERM-00339,166086.83,2026-03-14 04:41:00,4,ATM_WITHDRAWAL,True
TXN-0000028,DR-2026-1010,ACC-VIC-01003,ACC-MULE-00244,14395.34,2026-03-23 21:52:00,1,UPI,False
TXN-0000029,DR-2026-1010,ACC-MULE-00244,ACC-MULE-00348,13420.54,2026-03-23 22:13:00,2,IMPS,False
TXN-0000030,DR-2026-1010,ACC-MULE-00348,ACC-TERM-00331,12432.38,2026-03-23 22:29:00,3,ATM_WITHDRAWAL,True
TXN-0000031,DR-2026-1011,ACC-VIC-00912,ACC-MULE-00523,112260.23,2026-03-04 15:33:00,1,UPI,False
TXN-0000032,DR-2026-1011,ACC-MULE-00523,ACC-MULE-00184,106496.62,2026-03-04 15:52:00,2,IMPS,False
TXN-0000033,DR-2026-1011,ACC-MULE-00184,ACC-MULE-00419,100702.77,2026-03-04 16:06:00,3,IMPS,False
TXN-0000034,DR-2026-1011,ACC-MULE-00419,ACC-TERM-00158,93389.34,2026-03-04 16:26:00,4,ATM_WITHDRAWAL,True
TXN-0000035,DR-2026-1012,ACC-VIC-01201,ACC-MULE-00548,39496.42,2026-03-04 10:15:00,1,UPI,False
TXN-0000036,DR-2026-1012,ACC-MULE-00548,ACC-MULE-00610,36672.08,2026-03-04 10:37:00,2,IMPS,False
TXN-0000037,DR-2026-1012,ACC-MULE-00610,ACC-TERM-00051,33739.65,2026-03-04 10:52:00,3,ATM_WITHDRAWAL,True
