transaction_id,source_account,destination_account,amount,timestamp,transaction_type,fraud_type,source_latitude,source_longitude,destination_latitude,destination_longitude,source_bank,destination_bank,device_id,ip_risk_score,is_fraud,hop_number,commission_amount
TXN-0000001,ACC-VIC-00934,ACC-MULE-00163,141615.99,2026-03-07 07:54:00,UPI,kyc_fraud,12.941259,77.583263,12.950977,77.587481,ICICI,KOTAK,DEV-32807,0.72,1,1,8384.01
TXN-0000002,ACC-MULE-00163,ACC-MULE-00102,132795.84,2026-03-07 08:04:00,IMPS,kyc_fraud,12.941259,77.583263,12.913882,77.60552,KOTAK,BOB,DEV-25628,0.66,1,2,8820.15
TXN-0000003,ACC-MULE-00102,ACC-TERM-00092,126036.86,2026-03-07 08:26:00,ATM_WITHDRAWAL,kyc_fraud,12.941259,77.583263,12.965379,77.587421,AXIS,CANARA,DEV-93940,0.93,1,3,6758.98
TXN-0000004,ACC-VIC-01070,ACC-MULE-00557,185122.92,2026-03-26 22:00:00,UPI,investment_scam,17.401893,78.524172,17.413545,78.502414,HDFC,BOB,DEV-60258,0.66,1,1,14877.08
TXN-0000005,ACC-MULE-00557,ACC-MULE-00450,178531.08,2026-03-26 22:08:00,IMPS,investment_scam,17.401893,78.524172,17.428341,78.513733,SBI,HDFC,DEV-50759,0.65,1,2,6591.84
TXN-0000006,ACC-MULE-00450,ACC-TERM-00387,166431.54,2026-03-26 22:23:00,ATM_WITHDRAWAL,investment_scam,17.401893,78.524172,17.375211,78.544856,PNB,CANARA,DEV-87505,0.44,1,3,12099.54
TXN-0000007,ACC-VIC-00488,ACC-MULE-00185,14068.8,2026-03-28 07:51:00,UPI,upi_fraud,17.409312,78.457883,17.434376,78.437773,HDFC,HDFC,DEV-79121,0.62,1,1,931.2
TXN-0000008,ACC-MULE-00185,ACC-MULE-00727,13499.75,2026-03-28 08:03:00,IMPS,upi_fraud,17.409312,78.457883,17.380608,78.481854,HDFC,HDFC,DEV-76275,0.43,1,2,569.05
TXN-0000009,ACC-MULE-00727,ACC-MULE-00739,12963.19,2026-03-28 08:28:00,IMPS,upi_fraud,17.409312,78.457883,17.410976,78.451472,SBI,AXIS,DEV-14707,0.62,1,3,536.56
TXN-0000010,ACC-MULE-00739,ACC-TERM-00208,12152.11,2026-03-28 08:44:00,ATM_WITHDRAWAL,upi_fraud,17.409312,78.457883,17.4185,78.475858,PNB,HDFC,DEV-82642,0.94,1,4,811.08
TXN-0000011,ACC-VIC-00412,ACC-MULE-00088,23866.53,2026-03-30 10:40:00,UPI,kyc_fraud,17.36082,78.498379,17.332198,78.492536,BOB,AXIS,DEV-28086,0.48,1,1,1133.47
TXN-0000012,ACC-MULE-00088,ACC-MULE-00113,22119.88,2026-03-30 11:01:00,IMPS,kyc_fraud,17.36082,78.498379,17.331105,78.524281,ICICI,AXIS,DEV-72484,0.81,1,2,1746.65
TXN-0000013,ACC-MULE-00113,ACC-MULE-00642,20812.71,2026-03-30 11:23:00,IMPS,kyc_fraud,17.36082,78.498379,17.352002,78.471861,PNB,KOTAK,DEV-87306,0.6,1,3,1307.17
TXN-0000014,ACC-MULE-00642,ACC-TERM-00068,19924.95,2026-03-30 11:31:00,ATM_WITHDRAWAL,kyc_fraud,17.36082,78.498379,17.385838,78.515799,BOB,CANARA,DEV-90990,0.78,1,4,887.76
TXN-0000015,ACC-VIC-00290,ACC-MULE-00702,80302.77,2026-03-17 20:56:00,UPI,phishing,17.428315,78.412664,17.458036,78.436694,CANARA,CANARA,DEV-55718,0.91,1,1,4697.23
TXN-0000016,ACC-MULE-00702,ACC-TERM-00119,77869.27,2026-03-17 21:03:00,ATM_WITHDRAWAL,phishing,17.428315,78.412664,17.43385,78.397134,CANARA,AXIS,DEV-29919,0.97,1,2,2433.5
TXN-0000017,ACC-VIC-00968,ACC-MULE-00091,46719.36,2026-03-27 04:04:00,UPI,task_fraud,17.433539,78.391412,17.42147,78.408063,ICICI,BOB,DEV-76494,0.42,1,1,3280.64
TXN-0000018,ACC-MULE-00091,ACC-TERM-00148,43440.58,2026-03-27 04:11:00,ATM_WITHDRAWAL,task_fraud,17.433539,78.391412,17.448523,78.407883,PNB,PNB,DEV-12260,0.91,1,2,3278.78
TXN-0000019,ACC-VIC-00879,ACC-MULE-00653,47707.94,2026-03-29 21:11:00,UPI,task_fraud,12.953235,77.556685,12.926027,77.574964,HDFC,AXIS,DEV-96091,0.88,1,1,2292.06
TXN-0000020,ACC-MULE-00653,ACC-MULE-00343,45155.77,2026-03-29 21:15:00,IMPS,task_fraud,12.953235,77.556685,12.929847,77.573446,AXIS,ICICI,DEV-68144,0.78,1,2,2552.17
TXN-0000021,ACC-MULE-00343,ACC-TERM-00086,41827.85,2026-03-29 21:40:00,ATM_WITHDRAWAL,task_fraud,12.953235,77.556685,12.942353,77.552116,BOB,ICICI,DEV-92713,0.59,1,3,3327.92
TXN-0000022,ACC-VIC-00435,ACC-MULE-00070,88540.55,2026-04-04 00:16:00,UPI,investment_scam,17.446055,78.418613,17.460139,78.420303,KOTAK,PNB,DEV-61429,0.59,1,1,6459.45
TXN-0000023,ACC-MULE-00070,ACC-TERM-00027,82466.07,2026-04-04 00:24:00,ATM_WITHDRAWAL,investment_scam,17.446055,78.418613,17.427775,78.39889,PNB,CANARA,DEV-36656,0.97,1,2,6074.48
TXN-0000024,ACC-VIC-01431,ACC-MULE-00042,192263.48,2026-03-14 03:54:00,UPI,investment_scam,19.111869,72.904636,19.083789,72.904131,ICICI,CANARA,DEV-71736,0.69,1,1,7736.52
TXN-0000025,ACC-MULE-00042,ACC-MULE-00637,185646.29,2026-03-14 04:01:00,IMPS,investment_scam,19.111869,72.904636,19.08776,72.889842,BOB,SBI,DEV-79307,0.48,1,2,6617.19
TXN-0000026,ACC-MULE-00637,ACC-MULE-00551,178786.67,2026-03-14 04:26:00,IMPS,investment_scam,19.111869,72.904636,19.13151,72.915133,ICICI,CANARA,DEV-28296,0.92,1,3,6859.62
TXN-0000027,ACC-MULE-00551,ACC-TERM-00339,166086.83,2026-03-14 04:41:00,ATM_WITHDRAWAL,investment_scam,19.111869,72.904636,19.102024,72.919922,PNB,ICICI,DEV-89941,0.54,1,4,12699.84
TXN-0000028,ACC-VIC-01003,ACC-MULE-00244,14395.34,2026-03-23 21:52:00,UPI,phishing,17.377355,78.573502,17.385165,78.553335,ICICI,AXIS,DEV-10041,0.72,1,1,604.66
TXN-0000029,ACC-MULE-00244,ACC-MULE-00348,13420.54,2026-03-23 22:13:00,IMPS,phishing,17.377355,78.573502,17.388341,78.548854,BOB,SBI,DEV-77626,0.83,1,2,974.8
TXN-0000030,ACC-MULE-00348,ACC-TERM-00331,12432.38,2026-03-23 22:29:00,ATM_WITHDRAWAL,phishing,17.377355,78.573502,17.39361,78.550433,KOTAK,KOTAK,DEV-33098,0.41,1,3,988.16
TXN-0000031,ACC-VIC-00912,ACC-MULE-00523,112260.23,2026-03-04 15:33:00,UPI,kyc_fraud,17.344141,78.510916,17.325383,78.491436,KOTAK,PNB,DEV-36671,0.96,1,1,7739.77
TXN-0000032,ACC-MULE-00523,ACC-MULE-00184,106496.62,2026-03-04 15:52:00,IMPS,kyc_fraud,17.344141,78.510916,17.322054,78.53352,HDFC,PNB,DEV-94558,0.8,1,2,5763.61
TXN-0000033,ACC-MULE-00184,ACC-MULE-00419,100702.77,2026-03-04 16:06:00,IMPS,kyc_fraud,17.344141,78.510916,17.353439,78.515715,ICICI,SBI,DEV-19935,0.51,1,3,5793.85
TXN-0000034,ACC-MULE-00419,ACC-TERM-00158,93389.34,2026-03-04 16:26:00,ATM_WITHDRAWAL,kyc_fraud,17.344141,78.510916,17.320977,78.484753,PNB,KOTAK,DEV-49588,0.93,1,4,7313.43
TXN-0000035,ACC-VIC-01201,ACC-MULE-00548,39496.42,2026-03-04 10:15:00,UPI,kyc_fraud,12.956146,77.60968,12.955492,77.612401,HDFC,PNB,DEV-30319,0.54,1,1,2503.58
TXN-0000036,ACC-MULE-00548,ACC-MULE-00610,36672.08,2026-03-04 10:37:00,IMPS,kyc_fraud,12.956146,77.60968,12.973748,77.620777,CANARA,ICICI,DEV-64031,0.74,1,2,2824.34
TXN-0000037,ACC-MULE-00610,ACC-TERM-00051,33739.65,2026-03-04 10:52:00,ATM_WITHDRAWAL,kyc_fraud,12.956146,77.60968,12.960779,77.629953,HDFC,AXIS,DEV-34466,0.95,1,3,2932.43
TXN-0000038,ACC-VIC-00683,ACC-MULE-00219,23296.55,2026-03-16 04:15:00,UPI,phishing,19.044329,72.877395,19.043807,72.894869,PNB,SBI,DEV-44389,0.7,1,1,1703.45
TXN-0000039,ACC-MULE-00219,ACC-MULE-00473,22135.07,2026-03-16 04:39:00,IMPS,phishing,19.044329,72.877395,19.031534,72.903833,AXIS,BOB,DEV-85819,0.52,1,2,1161.48
TXN-0000040,ACC-MULE-00473,ACC-MULE-00616,21345.76,2026-03-16 04:43:00,IMPS,phishing,19.044329,72.877395,19.057743,72.858132,SBI,SBI,DEV-91159,0.45,1,3,789.31
TXN-0000041,ACC-MULE-00616,ACC-TERM-00234,20462.17,2026-03-16 04:58:00,ATM_WITHDRAWAL,phishing,19.044329,72.877395,19.052445,72.857587,SBI,PNB,DEV-63150,0.67,1,4,883.59
TXN-0000042,ACC-VIC-00433,ACC-MULE-00430,23769.39,2026-03-02 21:34:00,UPI,phishing,17.419963,78.345424,17.397467,78.340133,CANARA,SBI,DEV-54940,0.83,1,1,1230.61
TXN-0000043,ACC-MULE-00430,ACC-MULE-00208,22706.24,2026-03-02 21:49:00,IMPS,phishing,17.419963,78.345424,17.408789,78.337175,PNB,SBI,DEV-28260,0.84,1,2,1063.15
TXN-0000044,ACC-MULE-00208,ACC-MULE-00084,21663.69,2026-03-02 22:08:00,IMPS,phishing,17.419963,78.345424,17.434832,78.358926,PNB,CANARA,DEV-45574,0.4,1,3,1042.55
TXN-0000045,ACC-MULE-00084,ACC-TERM-00296,20344.13,2026-03-02 22:20:00,ATM_WITHDRAWAL,phishing,17.419963,78.345424,17.418818,78.319459,AXIS,CANARA,DEV-84191,0.44,1,4,1319.56
TXN-0000046,ACC-VIC-01178,ACC-MULE-00039,40187.97,2026-03-26 20:55:00,UPI,kyc_fraud,12.994698,77.600844,12.968673,77.616433,BOB,PNB,DEV-66120,0.67,1,1,1812.03
TXN-0000047,ACC-MULE-00039,ACC-MULE-00373,37284.51,2026-03-26 21:16:00,IMPS,kyc_fraud,12.994698,77.600844,13.015264,77.588872,SBI,SBI,DEV-25467,0.79,1,2,2903.46
TXN-0000048,ACC-MULE-00373,ACC-MULE-00747,35714.61,2026-03-26 21:30:00,IMPS,kyc_fraud,12.994698,77.600844,13.019347,77.572942,AXIS,ICICI,DEV-24429,0.91,1,3,1569.9
TXN-0000049,ACC-MULE-00747,ACC-TERM-00197,34294.09,2026-03-26 21:53:00,ATM_WITHDRAWAL,kyc_fraud,12.994698,77.600844,12.989651,77.618529,SBI,ICICI,DEV-47443,0.95,1,4,1420.52
TXN-0000050,ACC-VIC-00988,ACC-MULE-00305,14122.83,2026-03-28 09:17:00,UPI,investment_scam,17.367522,78.549092,17.394527,78.538172,AXIS,HDFC,DEV-53148,0.53,1,1,877.17
TXN-0000051,ACC-MULE-00305,ACC-TERM-00258,13279.34,2026-03-28 09:28:00,ATM_WITHDRAWAL,investment_scam,17.367522,78.549092,17.338189,78.577798,SBI,PNB,DEV-32772,0.72,1,2,843.49
TXN-0000052,ACC-VIC-00901,ACC-MULE-00206,191241.06,2026-03-16 02:55:00,UPI,investment_scam,17.343792,78.507673,17.347776,78.523494,CANARA,PNB,DEV-64458,0.67,1,1,8758.94
TXN-0000053,ACC-MULE-00206,ACC-MULE-00733,177382.25,2026-03-16 03:08:00,IMPS,investment_scam,17.343792,78.507673,17.353527,78.515988,BOB,AXIS,DEV-30602,0.93,1,2,13858.81
TXN-0000054,ACC-MULE-00733,ACC-MULE-00330,165803.78,2026-03-16 03:17:00,IMPS,investment_scam,17.343792,78.507673,17.327261,78.519114,KOTAK,BOB,DEV-69311,0.68,1,3,11578.47
TXN-0000055,ACC-MULE-00330,ACC-TERM-00256,155614.78,2026-03-16 03:24:00,ATM_WITHDRAWAL,investment_scam,17.343792,78.507673,17.358119,78.49116,ICICI,ICICI,DEV-62112,0.61,1,4,10189.0
TXN-0000056,ACC-VIC-00163,ACC-MULE-00528,23644.86,2026-03-04 23:34:00,UPI,investment_scam,17.451055,78.418165,17.470423,78.433085,CANARA,CANARA,DEV-71065,0.7,1,1,1355.14
TXN-0000057,ACC-MULE-00528,ACC-MULE-00390,22563.62,2026-03-04 23:42:00,IMPS,investment_scam,17.451055,78.418165,17.448749,78.419331,KOTAK,AXIS,DEV-59673,0.85,1,2,1081.24
TXN-0000058,ACC-MULE-00390,ACC-TERM-00036,21347.94,2026-03-04 23:47:00,ATM_WITHDRAWAL,investment_scam,17.451055,78.418165,17.471556,78.42854,HDFC,HDFC,DEV-43608,0.51,1,3,1215.68
TXN-0000059,ACC-VIC-01145,ACC-MULE-00235,79381.26,2026-03-26 18:10:00,UPI,kyc_fraud,17.366064,78.483905,17.382603,78.480928,BOB,SBI,DEV-95950,0.9,1,1,5618.74
TXN-0000060,ACC-MULE-00235,ACC-TERM-00205,73850.47,2026-03-26 18:23:00,ATM_WITHDRAWAL,kyc_fraud,17.366064,78.483905,17.392293,78.5098,HDFC,CANARA,DEV-77494,0.76,1,2,5530.79
TXN-0000061,ACC-VIC-00508,ACC-MULE-00249,140758.01,2026-03-23 18:09:00,UPI,task_fraud,12.997072,77.588091,13.016795,77.583553,AXIS,BOB,DEV-85921,0.74,1,1,9241.99
TXN-0000062,ACC-MULE-00249,ACC-MULE-00126,131444.65,2026-03-23 18:32:00,IMPS,task_fraud,12.997072,77.588091,13.000145,77.602624,SBI,HDFC,DEV-69945,0.82,1,2,9313.36
TXN-0000063,ACC-MULE-00126,ACC-TERM-00104,123966.48,2026-03-23 18:46:00,ATM_WITHDRAWAL,task_fraud,12.997072,77.588091,12.998932,77.566004,HDFC,CANARA,DEV-50495,0.4,1,3,7478.17
